,brands,flavors,characteristics,text
139,Львъм,,,лвйм
140,Нагнис,,"нагреваемые, с солью",нагнисы
141,,"слоеное, дрожжевое",,слоеное дрожжевое тесто
142,,индейский,"нет описаний, связанных с типом продукта/названием товара",из индейка
143,,,для наушников,разветвитель для наушников
144,Снус,"момент пряности, момент солода, момент карамели","без табака, слабого вкуса, легкое насыщение",гру
145,диета,,диетный,диета 2
146,картофельмялка,,,картофельмялка
147,,пшеничный,,пшен
148,святой источник,манго,,святой источник манго
149,безлак,,безвкусный,безлак
150,белорусское,сало,,белорусское сало
151,чароде,,"не имеет явных вкусовых нот или характеристик, поскольку это заклинание, а не продукт",чароде
152,,"молочный, кофе",,молочный кофейный напиток
154,,,деревянные,ложки деревянные
155,пудофф,,хрустящие,пудофф
156,lighting,,,наушники lighting
157,напол,,напол (нет описания вкуса или профиля вкусовых нот),напол
158,петелиго,,,петелиго
159,,ананас,консервированный,консервативные ананас
160,сордел,,,сордел
161,Гранд,,коктейль,гранд коктейль
162,поке,,"пирожки из рисовой муки с начинкой из рыбы, овощей и зелени",поке
163,аруассаны,,,аруассаны
164,hunters,,,hunters
165,,"огурец, помидоры",,огурец помидоры
166,,апельсиновый,,сок апель
167,tmk,,батон,тмк батон
168,,шоковый,,choco
169,тесто,,,тесто лазаньи
170,лабуба,,,лабуба
171,,икрв,,икрв
172,,,цветы,цветы
173,,,для мытье,для мытье
174,нэнер,,,нэнер
175,прей,луковый,,лук пррей
176,гордфуд,,блюдо,гордфуд
177,шптка,,,шптка
178,fryst,лимонад,,лимонад fryst
179,,халапеньо,,халапеньо с
180,ай кос,стиковый,,стики на ай кос
181,,светлый,"легкий, сочный, сладкий",sweet touch
182,регион,,производится в регионе,реги
184,maggi,веGETABLES FOR BORSCHT,,овощи для борща от maggi
185,,каши,,каши
186,laroche,,,laroche
187,,,жесткий,жесткий диск
188,,сыр,,сыр
189,,,посудомоечные таблетки,посудомоечная таблетки
190,,нутты,хрустящие,nuts
191,,пиво,"нет явных характеристик, кроме типа продукта",пива ба
192,,,хрустящий,crusty
193,,много белки,,много белки
194,,для рук,,было для рук детское
195,limax,,,limax
196,ципленка,,,крылья ципленка
197,,жасминный,,чай жасминовый
198,донисоимо,,"импортный, с мощным ароматом и вкусом апельсина",донисоимо
199,сантри,,,сантри
200,,"мороженое, эскимо",,морожен эскимо
201,mxiti,,,шампунь mxiti
202,irish,whiskey,,irish whiskey
203,кешю,,,с кешью
204,цезарь,шоколад,,цезарь из шоколад
205,,картофель,,для картофель
206,,,тени,тени
207,,,туалетная,туалетная ьумагп
208,картоос,картофельный,,картоыель
209,,,без газа,вода без газаз
210,Жигулёвск,,,жигулевск
211,kinder,,яичное,kinder яйцо
212,,газировый,,газиров
213,,,одноразовые,одноразовые кульки
214,оуассан,,,я оуассан
215,,гранола,,гранолаэ
216,,,накладки,накладки на соски
217,,"вареный, копченый", каких-либо других характеристик,варено копченая
218,,постный,,постный майонез
219,,,,туалетнаябцмага
220,,кофейный,,капсулы кофейный
221,Maltimers,,"chewy, candy",maltimers
222,стоучко,,,стоучко
223,,сырки,,сырки но
224,корица,коричный,эссенция,корица of
225,,,женские,женские серьги
226,,,2 л,сок 2 0 л
227,,сыр,с плесени,сыр с плесе
228,бройлер,,"филе, ",филе грудки бройлера
229,хусварн,,триммерная головка,триммерная головка для хусварн
230,,,"для кошек, для стерилизованных",влажный корм для кошек для стерилизованных
231,йогург,без сахара,,йогург без сахара
232,,готовые,тапочки,тапочки готовые
234,,кап,,кап
235,самокат,,,говядина самокат
236,аэрозоль,от моли,,аэрозоль от моли
237,Samsung,,чехол,чехол на samsung a
238,,,носки,носки
239,,,каша,каша
240,горчица,зерновой,,горчиц зерна
241,,,"энергетический, напиток с высокой концентрацией кофеина",exponents
242,Nike,,vaporfly,nike vaprofly
243,,десертный,,десерты
244,,сладкое,к чаю,сладкое к чаю
245,,готовая каша,,каша готовая с
246,эрп,,,эрп
247,петушок,,леденец на палочке,леденец на палочке петушок
248,индей,мясной,,мясо индейу
249,синергия,,,мыло синергия
250,,,"диспансер для полотенец, хрустящий",диспансер для полотенец
251,,гриль,,сосиски гриль
252,,пирожные,слои,пироженые слой
253,,"пирожки с луком, яичный",,пирожки с луком яйцом
254,,коктейль,фист,коктейль фист
255,kıktat,,,kıtkat
256,,мороженое,,мороженное
257,кисадель,,,кисадел
258,,,дезодорант,же дезодоранты
259,,слаисы,,слайсы я
260,,,обычные,свечки обычные
261,ю,масло,,ю масло
262,,гидрофильное,не связано с типом продукта/названием товара,гидрофильное
263,,мисо,,мисо
264,снсиска,,,снсиска
265,,,баночка,баночка
266,,,энергетик,энергетик с пер
267,power bank,,беспроводной,power банк беспроводной
268,маскулан,,,маскулан
269,fest,чистая,,fest чистая линия
270,Манитоба,мука,,манитоба мука
271,pro plan,,,pro plan
272,,,клейкий,клейкий валик
273,онегирт,, какой-либо вкус или характеристика непрямо связанная с продуктом,онегирт
274,,,игральные карты,poker
275,мидальо,,,мидальо
276,перецчер,острый перец,"соль, перца",перецчер
277,зеленая линия,,без сахара,сырники зеленая линия без сахара
279,лавваш,,,лавваш
280,name,,skin care o2,name skin care o2
281,крыжовник,,,крыжовник
282,Мирторг,булочный,,булочка мираторг для бургеров
283,,,для когтей,ножницы для когтей
284,булоч,,хлебные,булоч ки
285,,ягодный,,ягоды
286,,соки,,еще соки
287,3 д,,стикеры,3 д стикеры
288,tassay,,,tassay вода
289,,кефир,,кефиры
290,миндальное,кокосовое миндальное,,молоко кокосовое миндальное
291,,кофе,"в зернах, 1 кг",кофе в зернах1кг
292,мизин,,,мизин
293,,,сос,соса
294,Простоквашино,молочный,,молоко простоквашино
295,,сахар,кусочковый,сахар в кусковой
296,ананас,ананасовый,ку сочки,ананаса ку сочки
297,минарь,,миндальный,минарьная
298,,,таблетки,таблетки для
299,m ms,,конфеты,m m s конфеты
300,Свелк,,"неутральный вкус, энергетический напиток",свелк
301,урсофокус,,,лекарство урсофокус
302,,,солнце,наше солнце
303,палетка,тень,,палетка теней
304,наттис,,,наттис
305,,злаковый,,злаковый батончики
306,талрого,,,талрого
307,,,дисковые,дисковые батарейки
308,Мароконы,,,мароконы
309,,свекольный,,свекольный
310,нафтусю,,,нафтусю
311,сахарный песок,сахарный,,сахарный песок
312,"стаканчик, баночка",,,мороженое стаканчик или в баночке
313,йоугор,,,йоугор
314,,,для бровей,карандаш для бровей
315,Плантс,пекан и соль,"веганские, хрустящие",нут чи
316,proteins,,чипсы,чипсы proteins
317,,,стейк,стейк говядина
318,отьивная,,,отьивная
319,,,,сок
320,инд,,,инд
321,,,,мягкий
322,,сливочный,,сливочный сыр
323,вятушка,сливочное,,масло сливочное вятушка
324,васаби,васаби,,у васаби
325,,,для сдачи анализа,контейнер для сдачи анализа
326,святой источник,,1л,святой источник 1л
327,пиво,півний,,к пивк
329,,длиннозернистый,,длиннозернистый рис
330,крабы,мясной,,крабы мясо
331,марме,,,марме
332,пояс,,верности,пояс верности
333,,,масло,масло л
334,Йгу,,,йгу
335,крезал,,,крезал
336,паштет,,,влажный корм для кошек паштет
337,,желудочный,,желудочный кисель
338,,виноградный,,виноградя
339,,влажные,,влажные
340,,,стельки,стельки
341,,виноград сорта,,винограда сорта
342,кутсуп,,,кутсуп
343,,лососёвый,сухарики,лосось сухарики
344,, (дражированный),без драживой,хлеб без драживой
345,,"арбуз, соленый",,арбуз соленый
346,Липтей,яблочный,"сухие, жёсткие",ьворожный
347,gardex,,,сок gardex
348,круасанмс,,французский хлеб,круасанмс
349,кеш,,,кеш
350,Краковская,,,краковская
351,нриднев,,неизвестен,нриднев
352,,,огурцы,салëные огурец
353,,шампиньоны,,грибы шампиньоны
354,,,стиральный,для стиральный
355,чупа,,кукурузные,чупа ку
356,степлер,,,для степлер
357,,,швабра для полов,швабра для полов
358,агар агара,,,агар агара
359,тинт,,бальзам для губ,бальзам для губ тинт
360,grand,,пasta,гранд паста
361,муз,из манки,,муз из манки
362,совитал,,"беспокойный, рекламный",совитал
363,,,таблетки для розжига,таблетки для розжига
364,,сушеный чеснок,,сушеный чеснок
365,баул,,сумка,сумка баул
366,гематоген,,,гематоген
367,гапка,,,гапка
368,,,,от гриппа
369,"Nestle, Kit Kat","hazelnut, milk chocolate","crispy, creamy",наполнте
370,,арахисовый,,арахисовые паста
371,maggi,,,приправа maggi
373,zinger,,ножницы,zinger ножницы
374,,,женская,бритвы женская
375,,,настольные игры,настольная игры
377,,печёнка,,печнка
378,,,краситель натуральный,краситель натуральный
379,,халва,,халва ку
380,трифу,,,трайфу
381,,кофе,зерно,кофе зерно
382,скрдца,,,скрдца
383,,сырокопченая колбаса,,сырокопченная колбаса
385,кармнкс,,,кармнкс
386,,,хлеб,хлеба
387,Gravity,новое,,печенье gravity новое
388,,,для тараканов,домики для тараканов
389,нратен,,,нратен
391,,куриные,для приготовления,куриные крылья дл
392,,арахисовый,,паста арахисовая
393,оруовь,,,оруовь
394,,мороженое,,мороженое
395,,,ручки,ручки
396,,,тест,тест но
397,,паштет,,паштет
398,,,"гигиенические, ежедневные",гигиенические прокладки ежедневные
399,посцдомой,,для собак,посцдомой
400,КК,,мука,мука кк
401,Gucci,,,gucci
402,дым,,дым,дым д
403,,молоко,,молоко па
404,,замороженный десерт,,десерт замороженый
405,,помидоры и зелень,,помидоры и зелень
406,оугоец,,неизвестен,оугоец
407,салфе,,не имеет описания вкусовых нот,салфе
408,идея,,,идея
409,,гратен,,гратен
410,,шоколад,,шоколад
411,,цветной,карандаш,цветной карандаш
412,,,"капсула, порошок",порошок капсулы
413,,мороженое,,мороженого
414,,сало,,сало
415,дрип,,капсули для электронных сигарет,дрип
416,,кола,,кола без
417,age,,хлеб,хлеб age
418,,ветчиный,,ветчина
419,,соленая карамель,,соленая карамель
420,,газировка,,газировка
421,морская,кв,,морская кв
422,железная,,,железной банке
423,,"сердце, желудки",,сердце и желудки
424,,,светильник,светильник
425,аист,,,аист
426,,,рубашка,рубашка
427,такжны,, или типа продукта,такжны
428,,рибовый,в консервах,рыба в консервах
429,плюшка,,"не имеет явных вкусовых нот, но часто ассоциируется с мягким и нейтральным вкусом",плюшка б
430,,вишневый,,вареники с вишней
431,chanterelle,,"мужские, чантиперспе",мужские чантиперспе
432,florida,,котят,florida котят
433,лента,,,лента
434,vert,,кошелек,кошелек vert
435,стела,артуа,,стела артуа
436,Кружочок,,,кружочке
437,,малинный,,малина
438,Perfect Fit,,,корм кошачий perfect fit
440,,фарш,,фарш
441,,,итос,итос
442,,сливочный,,сливочный кулич
443,,,трубочка,трубочка
444,,,"живая, новогодняя (это не пищевой товар)",елка новогодняя живая
445,,сушеный рыбный,сушеный,сушеный рыба
446,,ясная,,ясная лапша
447,,томатный,,хлеб томаты
448,coolcola,ананасовые,,ананасовые coolcola
450,brush,,нет вкусовых характеристик уведенного товара,brush
451,,зеленый,,зеленый щи
452,монарда,экстракт,,экстракт монарды
453,Кеды,,,кеды
454,,баточные,,баточние
455,Nike,,"мужские, кроссовки",кроссовки мужские nike
456,ю,кубик,,кубик ю
457,,молочный,,молочны коктейль
458,,куриное,,яйцо куриное в
459,,варенный говяжий язык,,вареный говяжий язык
460,,"мелкий, сухой",,мелких сухой
461,,сырник,,сырники
462,мистраль,,,мистраль
463,,лосос,,лосос
464,какао,капсулы,,какао капсул
465,,китайский,,рис китайский
467,,на кокосовой основе,,на кокосовой основе
468,,рогалик,с мясом,рогалик с мясом
469,sour patch,сour,,sour patch
470,буженина,,,колбаса буженина
471,Алпен Голд,,,алпен голд
473,este,, в тексте,este
474,,,аромат для дома,аромат для дома
475,,баклажан,,паста с баклажаном
476,,,художественная литература,художественная литература
477,Ассам,черный,,чай черный ассам
478,тануки,,,тануки
479,fit kit,,,fit kit
480,,,матрас,матрас на
481,sabo,,,карандаш для губ sabo
482,черкашин,пельмены,,пельмени черкашин
483,рексога,,,рексога
484,,,мыть лапы,мыть лапы
485,Tassay,,,tassay
486,,сырокопченая,,сырокопченая колбаса
487,,,купаты,купаты
488,m m s,,"m, s (размеры)",m m s m s
489,консилер ess,,,консилер ess
490,дантисептик,,,dантисептик
491,,морские продукты,замороженные,морепродукты заморожены
492,джин9,,,джин9
493,MD,40,,md 40
494,,,зубная,паста зубная
495,,сальса,,сальса он
496,,,туалетная бумага,бумага туалет
497,хот доги,,,хот доги
498,Махнев,,,махнев
499,,,"женские, колготки",колготки женские 2
501,,питьевая вода,,вода пить
502,байтс,, в тексте,байтс
503,markov,,,markov
504,,моцарелла красная,,моцарелла красная
505,,,хрустящие,хрум-хрум
506,,плавленый,,сыр плавленый и
507,,персиковый,,персик
508,,консервированная рыба,,рыба консервирования
510,,минеральная,газированная с газом,минеральная вода газированная с газом
512,святой источник,,газированная,газированная святой источник
513,Skirt,,,skirt
514,моеоло,,,моеоло
515,,колгосный,"сухари, хлебцы",колго
516,,,пова,соль пищевая пова
517,,для фрикадельки,,соус к фрикаделькам
518,,,тип,икра тип
519,,собачий,консервы,консервы собачь
520,стрептоцид,,маз,стрептоцидовая маз
521,жевачи,,жевательная резинка,жевачуи
522,,рождественская утка,,рождественская утка
523,,,"конфетки, бараночки",конфетки и бараночки
524,,,20 den,колготки 20 den
525,,,панти,панти
526,дорблю,,,дорблю
527,,,хрустящие,popcorn
528,Ряден,,"крекеры, хлебные, сладкие, солодок",ряден
529,йогку,,,йогку
530,брелок,,"игрушка, самокат",самокат игрушка брелок
531,,гренковый,,гренки
532,мрцар,,,мрцар
533,,,"игрушка, магнитная",игрушка самокат магнитная
534,индидвйт,,,индидвйт
536,Кремлёвский,сервелат,,кремлевский сервелат
537,,гри,,гри
538,,,краска для волос,краска для волос 4
539,баланье,,,баланье
540,смазкп,,смазка,смазкп
541,бариила,,,бариила
542,,креветочный,,и креветки
543,craft,,хрустящие,craft chips
544,хартбо,,хрустящие,хартбо
545,,,тряпки,тряпки длч
546,антипох,,,антипох
547,,,горшок,горшок
548,безлааьозный,,,безлааьозный
549,буратт,,"свежий, мягкий",буратт
550,ion,,"веганский, без добавления цукрозы, богатый витаминами и минералами",ion
551,tommy,,,tommy
552,,куриное,,куриное филе э
553,карабина,ая,,карабина ая
554,старейший,коньячный,,коньяк старейшинаюююю
555,тесто,песок,,тесто песок
556,безлактозный,,,безлактозном
557,,,,тампоны от
558,,мясной,,грудка мясо
559,,,для удаления,спрей для удаления
560,,,дисп,дисп
561,персидская ночь,,,персидская ночь
562,криль,,,криль
563,зефиреок,,,зефиреок
564,,кофе,,кофе расиворимый
565,белакалорий,шоколад,,шоколад белакалорий
566,финский,,,финский
567,галан,," ничего, связанного с вкусом или характеристиками продукта",галан
568,,молоко,уль,молоко уль
569,,овсяная,,каша овсяная на
570,,,таблетки,таблетки д
571,лава,авокадо,,авокадо лава
572,лиронос,,,лиронос
573,легкипластилин,,,легкипластилин
574,,слойка,,слойка да
576,,,теплозащитная,теплозащита для волос
577,котлкт,,,котлкт
578,Дарницкий,хлеб черемушки,,хлеб черемушки дарницкий половинка
579,,рикота,,рикота
580,Боржоми,,,боржоми
581,,очищенные семена подсолнечника,,семена подсолнечника очищает
582,душа,,муж,душа муж
583,,суп,,суп
585,лазортан,,,лазортан
586,Грузия,грузинский,"традиционная, национальная",грузинская еда
587,,зеленый,в пакетиках,чай зеленый в пакетиках
588,Пекинскапуста,,,пекинскапуста
589,,рыбный,,рыбу
590,hyper,шоколадный,,пудинг шоколадный hyper
591,,тушеная,,тушенка
592,,одноразовое,,одноразовое
593,окра,квас,,квас окр
594,настрль,,,настрль
595,,,платки,платки
596,,куриный,бедра,куриные бедра
597,Colgate,"mint, fresh mint, spearmint","toothpaste, whitens teeth, fights cavities",зубнчистки
598,,,,чай
599,,,,сосиски дет
600,смекта,,лекарство,смекта лекарство
601,Шампур,,,шампур
602,,спаржа,,спаржа са
603,,готовый сухой завтрак,,готовый сухой завтрак
604,,,краска для батарейки,краска для батарейки
605,,,ватные,ватные диски
606,,кисельный,,кисель
607,took,,печенья,печенья took
608,тонталь,тональный,,тональный лореаль
609,,мандарин,,мандарин
610,чупасупч,,"солодок, хрупкий",чупасупч
611,,,колготки,колготки
612,cesar,пицца,,пицца cesar
613,карст,,нет информации о вкусовых нотах или профиле вкуса,карста
614,эрл,,,эрл
615,Турция,мармелад,,мармелад турции
616,,,женские,трусы женские
617,биште,,,биште
618,Иван Поддубный,творожный,,творог иван поддубный
619,,,для лица,сыворотка для лица
620,,,"женские, ночные",ночные трусы женские
621,,киви,,киви кра
622,Киев,,энергетический напиток,киева
623,,,мокрый,гель для бровей мокрый э
624,fere,,,fere
625,эгоист,кофе,,кофе растворимое эгоист
626,,,,розы
627,ла роше,,шоколадный крем,ля роше
628,зайка,,,зайка
629,,,наречённый,хлеб нарещка
630,бородинский,,,хлеб бородинский
631,,,,йогурт без лактоза
632,,,беговые,кроссовка беговые
633,,сырный,нарезной,сыр нарезной
634,,десертный,0,десерты 0 к
636,365,detox,,365 detox
637,ulkrr,, какой-либо вкус или характеристика,ulkrr
638,цкорий,,,цкорий
640,,морозный,,морож
641,мячик,,волосы,мячик волос
642,почмак,,"хрустящий, крупный",о почмак
643,кострбл,,вкус не указан,кострбл
644,батонч,,безалкогольный шоколадный батончик,батонч
646,мондора,,,мондора
647,Простоквашино,,,простоквашино
648,,,керосин,керосин
649,,,пали,икра пали
650,,,хлоргиксижин,хлоргиксижин
651,паниковка,,неизвестен вкус,паниковка
653,батард,,,батард
654,контшоны,,,контшоны
655,lauder,,,lauder
656,,стеак бедра,,стейк бедра
657,90,,мусорные,мусорные пакеты 90
658,,бархотный,бархотные,бархотные
659,,копченый,реbra,ребра копченые
660,Kit Kat,,хрустящий,kit k
661,,лук,,лук
662,geox,,,кроссовки geox
663,мусои,,батончики,батончики мусои
664,,колбасный,для бар,колбаски для бар
665,,сухофруктовый,,сухофрукты
666,,,тест,тест
667,фаршмак,,,фаршмак
668,Organica,,органический,organica
669,,,корректорная лента,корректорная лента
670,,,подгу,подгу
671,,"овсяный, миндальный",,овсяная каша на миндальном молоке
672,cili,,,cili
673,,яблочный,,яблоко з
674,,,для стирок,капсулы для стирок
675,Рошеном,"сладкий, шоколадный",,рошенконфеты
676,,,зубная,зубная
677,фоутмотив,, в тексте (товар не имеет явно указанного профиля вкуса),фоутмотив
678,сврники,,,сврники
679,сдоба,печка,,сдоба печка
680,,,святой,святой⁰
681,принллс,,,принллс
682,макопой,,,макопоеы
683,,рыбные,готовые,рыбные котлеты готовые
684,кореневой,,корневой,коренев
685,alcreme,,,alcreme
686,цезарь,,щи,цезарь щи
687,Sheba,,,sheba к
688,дез,,для рук,для рук дез
689,,черный,пакет,кофе черное пакет
690,оситин,,,оситин
691,пшонка,,,пшонка
692,укропбатон,,,укропбатон
693,"Кока Кола, Hero",коладовая,,кока кола hero
694,,стейк из мяса,,стейк из мяса
695,фрутоняня,,,фрутоняня
696,армянский,тонкий нету,,лаваш армянский тонкий нету ничего
697,arko,,пенная,пена arko
698,портсты,шоколадный,,шоколад портстый
699,39,,,кроссовки 39
700,,пицца,тестовый,тесто для пиц
701,,диск пудинг,,диск пудинг
702,руассан,,,я руассан
703,сочники,сочники,,сочники сочники
704,terror,,,terror
706,гулян,,,гулян
707,,яичный,,яии
708,,растительный,"нет явных характеристик, кроме типа продукта (растительный)",растите
709,,дезинфицирующее,,дезинфицирующее
710,,маисовый,хлеб,маисовый хлеб
711,,,зубная,зубная шт
712,асс,плавленый,,плавленый асс
713,,,приборы,приборы одн
714,цезарь,,"соль, перец, ананас, лимон, цитрон, сок лайма, майоран",цезарь со
715,,чоколадный,,чоколатку
716,,для крыс,,для крыс
717,maltre,,,maltre
718,,"блинчик, маковый",,блинчик с маком
719,,слабосоденая рыба,,рыба слабосоденая
720,масор,сливочное,,сливочное масор
721,айсберг,,,яйца айсберг
722,,,,икра ь
723,пышка,маргарин,,пышка маргарин
724,абрау,,,абрау
725,скотч,,малярный,скотч малярный бу
726,hawk,,,hawk
727,,Щипцы (не определен вкус), другие характеристики,щипцы
728,Ritter,,"сладости, шоколадные",ritter
729,,капуста плоская,,капуста плоская
730,семечки7,,семечки,семечки7
731,,растительный,,растительное масло
732,,,игрушка,игрушка
733,,,,мармелад белый
734,Levi,,,levi s
735,,двухслойный,,двухслойный
736,"Yoplait, Danone, Activia, Dannon, Stonyfield","Vanilla, Strawberry, Blueberry, Raspberry, Peach, Mixed Berries, Plain, Lemon, Pineapple, Honey, Chocolate, Mint, Coconut, Black Cherry, Strawberry Banana, Raspberry Yogurt with Pomegranate","Creamy, Smooth, Thick, Tangy, Rich, Sweet, Refreshing, Low-fat, Fat-free, Non-fat, Probiotic",йогурты
737,,альтернативное молоко,,молоко альтернативное
738,корейский,,,корейская
739,сыйлан,,,сыйлан
740,комбоблинч,,,комбоблинчики
741,Kotex,,,kotex
742,Natyys,,,natyys
743,Titbit,мюсли,,лакомство titbit для собак мюсли
744,ершик,,для бутылочки,ершик для бутылочки
745,,,рукав,рукав для
747,,жёлтые помидоры,,жнлтые помидоры
748,,мякоть,,мякоть
749,,садовый,во,во сады
750,borelli,,"копченый, сухой, слабо пряный",borelli
751,каннело,безымянный ( явно вкус),нет описания характеристик,каннело
752,грабли,куриный,,паста грабли box с куриным
753,мираторг,облепиха,,мираторг торг облепиха
754,,ароматизатор,,ароматизаторов
755,Соленьк,,,соленьк
756,,,серьга,серьга
757,, в тексте,презервативы,презервативы
758,,грецкие орехи,,грецких орехов
759,,салат,,еда салат
760,тунец,,,помазка тунец
761,,,кошелек,кошелек
762,,"без газа, вода питьевая",,вода питьевая без газа 5
763,,,релиз,релиз
764,,быстрого приготовления,,супы быстрого приготовления
765,безлактозерк,,"без лакта, зеркальный",безлактозерк
766,hot,whels,,hot whels
767,,ванilia,,ваниль
768,прингз,,,прингз
769,MaxFuel,,энергетический напиток,maxfum
770,фанта,,,фанта то
771,d3,,,d3
772,мицелия реал,,,мицелия реал
773,,"грецкий орех, карамель",,грецкий орех карамель
774,пластилин,,лепка,пластилин лепка
775,,,для пельмен,приправа для пельмен
776,,алычный,,алыча
777,,,детский,порошок детской
778,аромапалочка,,,аромапалочк
779,дт,,,каша дт
780,,маринадная курица,,курица маринаде
781,заморозка,блинчики,,заморозка блинчики
782,,,вег (вегетарианский),бургер вег
783,lay's,butter and sour cream & onion,crunchy,crack
784,milkes,,,milkes
785,,лимонный,,лим
786,,,батарейки,батарейки
787,,,,для лазаньи
788,,,рабочие,перчатки рабочие
789,,,"вода, 5 л",вода 5 л газированная
790,латунь,,металлический вкус,латуни
791,,фруктовый,,фру
792,,электролит,,электролит
793,,,нега,вода нега
794,Петелинка,,,петелинка
795,шаньга,,,шаньга
796,,тартар,,соус тартар
797,,суши,листы,суши листы
798,,селедка,,селед
799,,,стеклянный,кувшин стеклянный
800,бекон,солёный,,бекон￼
801,,семечковый,нет явных характеристик кроме типа продукта,семечки
802,трактор,,синий,стакан синий трактор
803,лапомада,,,лапомада
804,миндальное,молочно-миндальный,,молоко миндальное
805,соивки,,,соивки
806,,,коктейльные,коктейльные соломинки
807,,,плиточный,плиточный клей
808,Голубика,,,голубика
809,мини,,фри,мини фри
810,ттокпо,,,ттокпо
